a,split_score,effective_support,active_support,row,V_i,d_intrinsic_tangent_sq,subject,split,source_label,source_file,source_dir,beta,dispersion,seed,tangent_defined,alpha,cap_radius
0.015625,0.6666666666666667,3.0000000000004925,3,42,0.9858698459154926,0.0015945982892905,1.0,0.0,feet,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.0000000000000235,3,43,0.9041905839011932,0.0023040016775297,1.0,0.0,tongue,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.0000000000000235,3,44,1.0012987311270791,0.0012772673801049,1.0,0.0,feet,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.00000000000017,3,45,1.3194238148154709,0.0034640423617523,1.0,0.0,feet,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.0000000000000115,3,46,1.0346598918074812,0.0014941766473518,1.0,0.0,tongue,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.000000000000471,3,47,1.08851545585265,0.0018088802247578,1.0,0.0,left_hand,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.0000000000000355,3,48,0.9850451043725044,0.0016691388989672,1.0,0.0,feet,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.0000000000000124,3,49,1.0184472321301676,0.0018243607755671,1.0,0.0,tongue,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.0000000000000115,3,50,0.996900365848898,0.001430478955139,1.0,0.0,right_hand,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
0.015625,0.6666666666666667,3.000000000000058,3,51,1.1822983263652151,0.0029623180842397,1.0,0.0,right_hand,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1/row_metrics.csv,/Users/kyou/Desktop/Project-OT-Intrinsic/code/results/eeg_subject1,,,,,,
